srcip,dstip,sport,dport,proto,data,label,classes
192.168.2.190,255.255.255.255,12476,12476,17,"b'\xff\xff\xff\xff\xff\xffP-\xbbD1+\x08\x00E\x00\x00t\x04*\x00\x00\xff\x11\xf3\xe8\xc0\xa8\x02\xbe\xff\xff\xff\xff0\xbc0\xbc\x00`\xcd9\xfd\x01\xfe\xfc\x00\x10\x00\x01\x00\x00\x00X\x00\x00\x10\x01{""deviceInfo"":{""deviceType"":""midea_ac_xxxx"",""deviceId"":""MIDEA20160101""}}'",0,Normal
192.168.2.200,192.168.2.2,49458,53,17,"b'\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00B/\xae\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc8\xc0\xa8\x02\x02\xc12\x005\x00.\x86Z\xe4I\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x07catalog\x08gamepass\x03com\x00\x00\x01\x00\x01'",0,Normal
125.39.132.161,192.168.2.200,80,3086,6,"b"",\xf0]\xd4X\xd3\xfc|\x02H\x16\xf3\x08\x00E\x00\x00\x81\xa0\x14@\x003\x06\xe2)}'\x84\xa1\xc0\xa8\x02\xc8\x00P\x0c\x0e\xb8\xd1\xb5]\x886\xe8\x81P\x18xP\xe4\xa4\x00\x00\x00Y\x02:W\x00\x81X\xbb?\x84G\x80\x00\x00\x00>n\xf6\xa7\x0b9\xb0s\r\xc9u\x05\xbax\x08d\x05\xb8\x9b\xbe\xc5\xc1\xfa\xa6\xfbk\xdd\xc0\xf2C@\xe4\xbc\xdba\x03:\xfb_\xd3\xae\xf3\xa60\xe8\x812\xac%\x9aL;\xb4\x00\xd4\xcf#\xb1\xb5\x1e|\xddy{\xdd5\n\xaa\x8c\xca\xf8o\x03""",0,Normal
192.168.2.200,125.39.132.161,3086,80,6,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00(\x8a\x8b@\x00\x80\x06\x00\x00\xc0\xa8\x02\xc8}'\x84\xa1\x0c\x0e\x00P\x886\xe8\x81\xb8\xd1\xb5\xb6P\x10\x04\x01\xc5S\x00\x00""",0,Normal
192.168.2.200,103.195.103.66,9993,9993,17,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5\xa6x\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc8g\xc3gB'\t'\t\x00\x91\x93\x18\xd2\n\xc4\x10td\x86iw\x8c\xdeq\x90\xe5\xa50\x12I\x00YXj\x18d\xe9-\xa2\x01\x0c\x01\n\x00\x01\x00\x00\x01\x81\xe7\xaeM<\xe5\xa50\x12I\x00\x08\x86\xe1\xf0<\x0c\xc9E\xb9\x81\xa2DD\xa2\xb1r\xc2\x99\xf6\x99u\xef\x7f\x05\xfa\xf0}\n9q\xf4\x015_+\xef,\xda\xd9a\xaf\xc8\x89CkM\xef\xb4*\xb0\x93Ts\x85\x1e\xb0\x1d*\x11\xc5>\xc8\xef\x82\x00\x04g\xc3gB'\t\x00\x00\x00\x00\x08\xea\xc9\n\x00\x00\x01~\xe9W`\xcd\x9dD""",0,Normal
192.168.2.200,103.195.103.66,26767,9993,17,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5\xa6y\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc8g\xc3gBh\x8f'\t\x00\x91\x93\x18\xd2\n\xc4\x10td\x86iw\x8c\xdeq\x90\xe5\xa50\x12I\x00YXj\x18d\xe9-\xa2\x01\x0c\x01\n\x00\x01\x00\x00\x01\x81\xe7\xaeM<\xe5\xa50\x12I\x00\x08\x86\xe1\xf0<\x0c\xc9E\xb9\x81\xa2DD\xa2\xb1r\xc2\x99\xf6\x99u\xef\x7f\x05\xfa\xf0}\n9q\xf4\x015_+\xef,\xda\xd9a\xaf\xc8\x89CkM\xef\xb4*\xb0\x93Ts\x85\x1e\xb0\x1d*\x11\xc5>\xc8\xef\x82\x00\x04g\xc3gB'\t\x00\x00\x00\x00\x08\xea\xc9\n\x00\x00\x01~\xe9W`\xcd\x9dD""",0,Normal
192.168.2.200,103.195.103.66,42199,9993,17,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5\xa6z\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc8g\xc3gB\xa4\xd7'\t\x00\x91\x93\x18\xd2\n\xc4\x10td\x86iw\x8c\xdeq\x90\xe5\xa50\x12I\x00YXj\x18d\xe9-\xa2\x01\x0c\x01\n\x00\x01\x00\x00\x01\x81\xe7\xaeM<\xe5\xa50\x12I\x00\x08\x86\xe1\xf0<\x0c\xc9E\xb9\x81\xa2DD\xa2\xb1r\xc2\x99\xf6\x99u\xef\x7f\x05\xfa\xf0}\n9q\xf4\x015_+\xef,\xda\xd9a\xaf\xc8\x89CkM\xef\xb4*\xb0\x93Ts\x85\x1e\xb0\x1d*\x11\xc5>\xc8\xef\x82\x00\x04g\xc3gB'\t\x00\x00\x00\x00\x08\xea\xc9\n\x00\x00\x01~\xe9W`\xcd\x9dD""",0,Normal
192.168.2.200,84.17.53.155,9993,9993,17,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5\r\xb6\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc8T\x115\x9b'\t'\t\x00\x91M\xbf\xdd\xb1\xa7\xd3\x84\xbf}\xf7\xca\xfe\x04\xeb\xa9\xe5\xa50\x12I\x00\x888]\xdc\xd5a\xe4\xdf\x01\x0c\x01\n\x00\x01\x00\x00\x01\x81\xe7\xaeM<\xe5\xa50\x12I\x00\x08\x86\xe1\xf0<\x0c\xc9E\xb9\x81\xa2DD\xa2\xb1r\xc2\x99\xf6\x99u\xef\x7f\x05\xfa\xf0}\n9q\xf4\x015_+\xef,\xda\xd9a\xaf\xc8\x89CkM\xef\xb4*\xb0\x93Ts\x85\x1e\xb0\x1d*\x11\xc5>\xc8\xef\x82\x00\x04T\x115\x9b'\t\x00\x00\x00\x00\x08\xea\xc9\n\x00\x00\x01~\xe9W`\xcd\x0f\x04""",0,Normal
192.168.2.200,84.17.53.155,26767,9993,17,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5\r\xb7\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc8T\x115\x9bh\x8f'\t\x00\x91M\xbf\xdd\xb1\xa7\xd3\x84\xbf}\xf7\xca\xfe\x04\xeb\xa9\xe5\xa50\x12I\x00\x888]\xdc\xd5a\xe4\xdf\x01\x0c\x01\n\x00\x01\x00\x00\x01\x81\xe7\xaeM<\xe5\xa50\x12I\x00\x08\x86\xe1\xf0<\x0c\xc9E\xb9\x81\xa2DD\xa2\xb1r\xc2\x99\xf6\x99u\xef\x7f\x05\xfa\xf0}\n9q\xf4\x015_+\xef,\xda\xd9a\xaf\xc8\x89CkM\xef\xb4*\xb0\x93Ts\x85\x1e\xb0\x1d*\x11\xc5>\xc8\xef\x82\x00\x04T\x115\x9b'\t\x00\x00\x00\x00\x08\xea\xc9\n\x00\x00\x01~\xe9W`\xcd\x0f\x04""",0,Normal
192.168.2.200,84.17.53.155,42199,9993,17,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5\r\xb8\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc8T\x115\x9b\xa4\xd7'\t\x00\x91M\xbf\xdd\xb1\xa7\xd3\x84\xbf}\xf7\xca\xfe\x04\xeb\xa9\xe5\xa50\x12I\x00\x888]\xdc\xd5a\xe4\xdf\x01\x0c\x01\n\x00\x01\x00\x00\x01\x81\xe7\xaeM<\xe5\xa50\x12I\x00\x08\x86\xe1\xf0<\x0c\xc9E\xb9\x81\xa2DD\xa2\xb1r\xc2\x99\xf6\x99u\xef\x7f\x05\xfa\xf0}\n9q\xf4\x015_+\xef,\xda\xd9a\xaf\xc8\x89CkM\xef\xb4*\xb0\x93Ts\x85\x1e\xb0\x1d*\x11\xc5>\xc8\xef\x82\x00\x04T\x115\x9b'\t\x00\x00\x00\x00\x08\xea\xc9\n\x00\x00\x01~\xe9W`\xcd\x0f\x04""",0,Normal
